Date,District,Estate,Price,Unit Address,Floor,Block,Room,Area,CNAME,CNAME_S,ENAME,REGION
10/9/2021,Southern District,Residence Bel-Air,7.8,BEL-AIR ON THE PEAK TOWER 7 2#/F Room B,2,BEL-AIR ON THE PEAK TOWER 7,B,895,南區,南区,SOUTHERN,HK
10/9/2021,Kennedy Town,University Heights,8.32,TOWER 1 2#/F Room A,2,TOWER 1,A,529,中西區,中西区,CENTRAL & WESTERN,HK
10/9/2021,Shaukeiwan,Tung On Building,5.18,1#/F Room A,1,,A,900,東區,东区,EASTERN,HK
10/9/2021,Shaukeiwan,Aldrich Garden,6.45,BLOCK 10 4/F Room G,4,BLOCK 10,G,693,東區,东区,EASTERN,HK
10/9/2021,Kennedy Town,Hee Wong Terrace,6,BLOCK 9 4/F Room C,4,BLOCK 9,C,520,中西區,中西区,CENTRAL & WESTERN,HK
10/9/2021,Shaukeiwan,Tung Tao Court,5.75,BLOCK A 3#/F Room 3,3,BLOCK A,3,524,東區,东区,EASTERN,HK
10/9/2021,Happy Valley,Panny Court,10.5,1#/F Room A,1,,A,704,灣仔區,湾仔区,WAN CHAI,HK
10/9/2021,Sai Ying Pun,Hing Tai Building,6.84,4/F Room B,4,,B,472,中西區,中西区,CENTRAL & WESTERN,HK
10/9/2021,Shaukeiwan,Tung Shing Court,0.6,7/F Room 8,7,,8,512,東區,东区,EASTERN,HK
10/9/2021,Mid-Levels,Clovelly Court,69.8,BLOCK 2 3#/F Room A,3,BLOCK 2,A,2115,中西區,中西区,CENTRAL & WESTERN,HK
10/9/2021,Tin Hau,Mayson Garden Building,7.8,9/F Room C,9,,C,750,東區,东区,EASTERN,HK
10/9/2021,Sai Wan Ho,Grand Promenade,11.35,TOWER 1 3#/F Room E,3,TOWER 1,E,687,東區,东区,EASTERN,HK
10/9/2021,Ap Lei Chau,Billion Court,2.8,7/F Room D,7,,D,507,九龍城區,九龙城区,KOWLOON CITY,KL
10/9/2021,South Horizons,South Horizons,9.66,TOWER 12 2#/F Room F,2,TOWER 12,F,769,南區,南区,SOUTHERN,HK
9/9/2021,Sai Ying Pun,Two Artlane,7.78,3#/F Room J,3,,J,244,中西區,中西区,CENTRAL & WESTERN,HK
9/9/2021,Sai Ying Pun,Two Artlane,8.02,2#/F Room L,2,,L,269,中西區,中西区,CENTRAL & WESTERN,HK
9/9/2021,Pok Fu Lam,Chi Fu Fa Yuen,9.65,BLOCK H-13 1#/F Room B,1,BLOCK H-13,B,694,南區,南区,SOUTHERN,HK
9/9/2021,South Horizons,South Horizons,11.65,TOWER 11 1#/F Room A,1,TOWER 11,A,793,南區,南区,SOUTHERN,HK
9/9/2021,South Horizons,South Horizons,15.6,TOWER 23A 3#/F Room E,3,TOWER 23A,E,986,南區,南区,SOUTHERN,HK
9/9/2021,Tai Hang,Butler Towers,40.98,8/F Room E,8,,E,1650,灣仔區,湾仔区,WAN CHAI,HK
9/9/2021,Sai Ying Pun,Yee Shun Mansion,1.25,2#/F Room A,2,,A,418,中西區,中西区,CENTRAL & WESTERN,HK
9/9/2021,Sai Wan Ho,Tai On Building,3.95,2#/F Room 19,2,,19,465,中西區,中西区,CENTRAL & WESTERN,HK
9/9/2021,Sheung Wan,Princeton Tower,9.75,9/F Room D,9,,D,677,中西區,中西区,CENTRAL & WESTERN,HK
9/9/2021,Quarry Bay,The orchards,17.6,TOWER 1 1#/F Room F,1,TOWER 1,F,1034,東區,东区,EASTERN,HK
9/9/2021,Shaukeiwan,Tung Tao Court,8.25,BLOCK C 2#/F Room 4,2,BLOCK C,4,952,東區,东区,EASTERN,HK
9/9/2021,Chai Wan,Neptune Terrace,6.38,BLOCK 3 3#/F Room G,3,BLOCK 3,G,676,東區,东区,EASTERN,HK
9/9/2021,Wan Chai,Convention Plaza,31.7,2#/F Room 2,2,,2,1543,灣仔區,湾仔区,WAN CHAI,HK
9/9/2021,Sai Wan Ho,Lei King Wan,10,SITE D ON CHAK MANSION 2/F Room B,2,SITE D ON CHAK MANSION,B,686,東區,东区,EASTERN,HK
9/9/2021,Taikoo Shing,TaiKoo Shing,11.25,FOONG SHAN 1#/F Room C,1,FOONG SHAN,C,675,東區,东区,EASTERN,HK
9/9/2021,Shaukeiwan,Hong Wah Mansion,5.08,BLOCK 2 2/F Room D,2,BLOCK 2,D,381,東區,东区,EASTERN,HK
9/9/2021,Sai Wan Ho,Grand Promenade,11.5,TOWER 1 3#/F Room E,3,TOWER 1,E,687,東區,东区,EASTERN,HK
9/9/2021,Kennedy Town,The Sail at Victoria,12,5/F Room C,5,,C,663,中西區,中西区,CENTRAL & WESTERN,HK
9/9/2021,Causeway Bay,Chee On Building,8.4,2#/F Room P,2,,P,550,油尖旺區,油尖旺区,YAU TSIM MONG,KL
9/9/2021,Aberdeen,Aberdeen Centre,11.5,BLOCK R 2#/F Room 3,2,BLOCK R,3,817,南區,南区,SOUTHERN,HK
9/9/2021,Tin Hau,Victoria Tower,14.6,4/F Room B,4,,B,1212,東區,东区,EASTERN,HK
9/9/2021,Shaukeiwan,Galaxy Plaza,6.4,1#/F Room C,1,,C,496,東區,东区,EASTERN,HK
9/9/2021,Sai Wan Ho,Grand Promenade,11.9,TOWER 5 5#/F Room G,5,TOWER 5,G,674,東區,东区,EASTERN,HK
9/9/2021,North Point,Bedford Gardens,8,HONG FOOK COURT 1#/F Room C,1,HONG FOOK COURT,C,650,東區,东区,EASTERN,HK
9/9/2021,Sai Wan Ho,ISLAND RESIDENCE,5.4,7/F Room B,7,,B,238,東區,东区,EASTERN,HK
9/9/2021,Southern District,Sham Wan Towers,10,TOWER 1 5#/F Room G,5,TOWER 1,G,642,南區,南区,SOUTHERN,HK
