VGG16_2d1,VGG16_2d2,VGG16_3d1,VGG16_3d2,VGG16_3d3
0.2139886,0.69021827,0.20211607,0.70989597,0.63420093
0.81622195,0.40944454,0.8032652,0.44179177,0.6028046
0.42852563,0.37555692,0.30707312,0.41853383,0.9244553
0.42465147,0.58382344,0.42326093,0.46426457,0.22297576
0.6458318,0.18492636,0.6584815,0.24339533,0.67476183
0.21795624,0.73714304,0.40993288,0.70918536,0.56328595
0.47059858,0.8793894,0.4378108,0.85160995,0.40384418
0.27677327,0.32717627,0.27409655,0.3716643,0.50945854
0.5464003,0.74155056,0.5841366,0.7695895,0.48393407
0.45291346,0.68525416,0.41405517,0.639927,0.22244069
0.7971178,0.6662223,0.71920574,0.6678576,0.37956923
0.5957634,0.6566775,0.68574184,0.6543172,0.7110437
0.49672902,0.6572256,0.5101445,0.63750434,0.36036444
0.63668877,0.8627761,0.6639327,0.7058531,0.3382926
0.81232333,0.46176878,0.791788,0.6226428,0.60933447
0.17450863,0.5218728,0.1567395,0.5613413,0.47746205
0.42492667,0.5640514,0.4240412,0.43999588,0.31725752
0.41404578,0.65078276,0.3802516,0.61633277,0.30252606
