ResNet101_2d1,ResNet101_2d2,ResNet101_3d1,ResNet101_3d2,ResNet101_3d3
0.479487,0.71774113,0.46909338,0.65960836,0.95418704
0.9611095,0.6643779,0.9331957,0.7674142,0.51817715
0.4503263,0.41445076,0.48570228,0.40523183,0.8025911
0.13120145,0.27035585,0.1720146,0.2986402,0.2536263
0.33457404,0.77390206,0.388954,0.7130096,0.8215573
0.28268516,0.57951427,0.35654968,0.58320314,0.45601365
0.3320549,0.4738847,0.21341664,0.3187462,0.65076953
0.1289948,0.54081476,0.15642703,0.4286492,0.66375315
0.45914838,0.9105617,0.35972485,0.8008077,0.2752852
0.42909372,0.48682564,0.45251918,0.50371534,0.4410476
0.07022858,0.5161294,0.10104048,0.38453215,0.5230356
0.7607044,0.7656389,0.7369825,0.66344965,0.74631155
0.35469118,0.23892355,0.22823685,0.18338534,0.30588895
0.49210557,0.6626624,0.56489587,0.6307244,0.8275497
0.15050891,0.59615314,0.1648168,0.5442071,0.55495137
0.25633356,0.4424383,0.32173246,0.48120764,0.4006469
0.8016759,0.58950084,0.7997952,0.5792653,0.69353855
0.29351068,0.78465927,0.3689362,0.817253,0.7653791
0.94835794,0.6949514,0.87783265,0.7802281,0.55519766
0.3584749,0.3377564,0.19398645,0.3016503,0.44937992
0.43634313,0.8733122,0.42533702,0.86557496,0.44349113
0.62473404,0.7656378,0.57832843,0.85498774,0.7095045
0.5523314,0.3410838,0.48128623,0.25046396,0.54411715
0.22902009,0.5115256,0.34867105,0.6361592,0.38721678
0.39909956,0.8838664,0.3539446,0.80253035,0.48386827
0.22034746,0.36586368,0.21536022,0.5105697,0.1627469
0.23342255,0.5323005,0.32367128,0.63796514,0.3066274
0.4148441,0.60500294,0.3651451,0.42224804,0.67360055
0.18591693,0.77924263,0.21696997,0.79588974,0.55677044
0.48196712,0.4081439,0.41809422,0.25724208,0.7414786
0.5588515,0.94542885,0.4874682,0.8724099,0.31098017
0.27737686,0.5609671,0.37043944,0.5299892,0.5198822
0.8793033,0.25280815,0.8318395,0.16847762,0.24529552
0.14740047,0.711739,0.21963695,0.5763983,0.7276151
0.820211,0.80446917,0.7095548,0.8065781,0.3794003
0.8170957,0.7450679,0.7965202,0.78891987,0.4165989
0.54631907,0.4442897,0.6059576,0.40806377,0.6386093
0.5330285,0.45360893,0.5476467,0.40516126,0.631961
0.65838253,0.1961416,0.6936081,0.21468896,0.47653532
